bucket,name,source,size,ext,reason
booking/processed,AGODA__AGODA  SEP 2025 AMT 80280.25 RS.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA  SEP 2025 AMT 80280.25 RS.xlsx,12829,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA 14 APRIL 2026  AMT- 734555.64 RS.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA 14 APRIL 2026  AMT- 734555.64 RS.xlsx,23242,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA 16540.78 AMT  [8.10.25].xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA 16540.78 AMT  [8.10.25].xlsx,11997,.xlsx,Agoda processed (booking)
booking/processed,"AGODA__AGODA AMT 113763.07, NOV 5.11.25.xlsx","meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA AMT 113763.07, NOV 5.11.25.xlsx",13130,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA AUGUST 2025 -AMT 44912.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA AUGUST 2025 -AMT 44912.xlsx,2733,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA AUGUST 2025.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA AUGUST 2025.xlsx,15754,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA DEC  2025- 2030043.35 AMT.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA DEC  2025- 2030043.35 AMT.xlsx,55673,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA DEC 2025 -98974.39 AMT.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA DEC 2025 -98974.39 AMT.xlsx,13983,.xlsx,Agoda processed (booking)
booking/processed,"AGODA__AGODA FEB 2026, AMT- 630617.67 RS.xlsx","meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA FEB 2026, AMT- 630617.67 RS.xlsx",24012,.xlsx,Agoda processed (booking)
booking/processed,"AGODA__AGODA FEB 2026, AMT-115771.58 RS.xlsx","meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA FEB 2026, AMT-115771.58 RS.xlsx",29771,.xlsx,Agoda processed (booking)
booking/processed,"AGODA__AGODA MARCH 2026, AMT 34274.02.xlsx","meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA MARCH 2026, AMT 34274.02.xlsx",12541,.xlsx,Agoda processed (booking)
booking/processed,"AGODA__AGODA MARCH 2026, AMT 65443.57.xlsx","meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA MARCH 2026, AMT 65443.57.xlsx",13010,.xlsx,Agoda processed (booking)
booking/processed,"AGODA__AGODA MARCH 2026, AMT 759282.14.xlsx","meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA MARCH 2026, AMT 759282.14.xlsx",28919,.xlsx,Agoda processed (booking)
booking/processed,"AGODA__AGODA MARCH 2026, AMT 798339.41.xlsx","meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA MARCH 2026, AMT 798339.41.xlsx",27098,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA NOV 2025 - 2140075.38 AMT.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA NOV 2025 - 2140075.38 AMT.xlsx,48545,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA OCT -802760.07 AMT.  [8.10.25].xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA OCT -802760.07 AMT.  [8.10.25].xlsx,25513,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA SEPT 2025 -AMT 66570.86.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA SEPT 2025 -AMT 66570.86.xlsx,12118,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA SEPT 2025- AMT 845285.71.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA SEPT 2025- AMT 845285.71.xlsx,27169,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA SEPT 2025- AMT- 80280.25 ISSUED.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA SEPT 2025- AMT- 80280.25 ISSUED.xlsx,12020,.xlsx,Agoda processed (booking)
booking/processed,AGODA__AGODA SEPT 2025-AMT 1876144.81.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/AGODA/AGODA SEPT 2025-AMT 1876144.81.xlsx,44058,.xlsx,Agoda processed (booking)
payments/processed,BANK ROOFTOP__TMV - ROOFTOP  Statement Of Account - OCTOBER 2025.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/BANK ROOFTOP/TMV - ROOFTOP  Statement Of Account - OCTOBER 2025.xlsx,19047,.xlsx,Bank statement processed (payment)
payments/processed,F&B UPI__PTM - AUGUST 2025 (F&B SERVICE).csv,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - AUGUST 2025 (F&B SERVICE).csv,34350,.csv,PTM aggregator processed (payment)
payments/processed,F&B UPI__PTM - JULY 2025 (F&B) (1).xlsx,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - JULY 2025 (F&B) (1).xlsx,15987,.xlsx,PTM aggregator processed (payment)
payments/processed,F&B UPI__PTM - OCTOBER 2025 (F&B SERVICE).xlsx,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - OCTOBER 2025 (F&B SERVICE).xlsx,17342,.xlsx,PTM aggregator processed (payment)
payments/processed,F&B UPI__PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,meet-recording/data_sheets_historical/mangal all data sheet/F&B UPI/PTM - SEPTEMBER 2025 (F&B SERVICE).xlsx,31061,.xlsx,PTM aggregator processed (payment)
booking/processed,GOMMT STATEMENT__gommt april to oct 25.csv,meet-recording/data_sheets_historical/mangal all data sheet/GOMMT STATEMENT/gommt april to oct 25.csv,33126,.csv,GoMT/MMT processed (booking)
payments/processed,INDIAN BANK__Statement Of Account - AUGUST 2025.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx,19710,.xlsx,Bank statement processed (payment)
payments/processed,INDIAN BANK__Statement Of Account - DECEMBER 2025.xls,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - DECEMBER 2025.xls,47616,.xls,Bank statement processed (payment)
payments/processed,INDIAN BANK__Statement Of Account - FEBRUARY 2026.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - FEBRUARY 2026.xlsx,15804,.xlsx,Bank statement processed (payment)
payments/processed,INDIAN BANK__Statement Of Account - JANUARY 2026.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - JANUARY 2026.xlsx,16845,.xlsx,Bank statement processed (payment)
payments/processed,INDIAN BANK__Statement Of Account - JULY 2025.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - JULY 2025.xlsx,17788,.xlsx,Bank statement processed (payment)
payments/processed,INDIAN BANK__Statement Of Account - MARCH 2026.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - MARCH 2026.xlsx,18713,.xlsx,Bank statement processed (payment)
payments/processed,INDIAN BANK__Statement Of Account - NOVEMBER 2025-imp.xls,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - NOVEMBER 2025-imp.xls,49664,.xls,Bank statement processed (payment)
payments/processed,INDIAN BANK__Statement Of Account - OCTOBER 2025.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - OCTOBER 2025.xlsx,17411,.xlsx,Bank statement processed (payment)
payments/processed,INDIAN BANK__Statement Of Account - SEPTEMBER 2025.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - SEPTEMBER 2025.xlsx,19562,.xlsx,Bank statement processed (payment)
payments/processed,INDIAN BANK ROOFTOP__TMV - ROOFTOP  Statement Of Account - OCTOBER 2025.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK ROOFTOP/TMV - ROOFTOP  Statement Of Account - OCTOBER 2025.xlsx,19301,.xlsx,Bank statement processed (payment)
payments/processed,"INDIAN BANK ROOFTOP__TMV - ROOFTOP STATEMNT OF AC, NOV 2025.xls","meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK ROOFTOP/TMV - ROOFTOP STATEMNT OF AC, NOV 2025.xls",41984,.xls,Bank statement processed (payment)
payments/processed,INDIAN BANK ROOFTOP__TMV - STATEMENT Of Account - JANUARY 2026-imp.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK ROOFTOP/TMV - STATEMENT Of Account - JANUARY 2026-imp.xlsx,29772,.xlsx,Bank statement processed (payment)
payments/processed,INDIAN BANK ROOFTOP__TMV - Statement Of Account - DECEMBER 2025-imp.xls,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK ROOFTOP/TMV - Statement Of Account - DECEMBER 2025-imp.xls,44544,.xls,Bank statement processed (payment)
payments/processed,INDIAN BANK ROOFTOP__TMV - Statement Of Account - February 2026-imp.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK ROOFTOP/TMV - Statement Of Account - February 2026-imp.xlsx,28212,.xlsx,Bank statement processed (payment)
payments/processed,INDIAN BANK ROOFTOP__TMV - Statement Of Account - MARCH 2026.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK ROOFTOP/TMV - Statement Of Account - MARCH 2026.xlsx,15716,.xlsx,Bank statement processed (payment)
payments/processed,PTM ROOFTOP__TMV ROOFTOP - DECEMBER 2025.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/PTM ROOFTOP/TMV ROOFTOP - DECEMBER 2025.xlsx,54531,.xlsx,PTM aggregator processed (payment)
payments/processed,PTM ROOFTOP__TMV ROOFTOP - FEBRUARY 2026.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/PTM ROOFTOP/TMV ROOFTOP - FEBRUARY 2026.xlsx,48476,.xlsx,PTM aggregator processed (payment)
payments/processed,PTM ROOFTOP__TMV ROOFTOP - JANUARY 2026.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/PTM ROOFTOP/TMV ROOFTOP - JANUARY 2026.xlsx,51720,.xlsx,PTM aggregator processed (payment)
payments/processed,PTM ROOFTOP__TMV ROOFTOP - MARCH 2026.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/PTM ROOFTOP/TMV ROOFTOP - MARCH 2026.xlsx,46786,.xlsx,PTM aggregator processed (payment)
payments/processed,PTM ROOFTOP__TMV ROOFTOP - NOVEMBER 2025.csv,meet-recording/data_sheets_historical/mangal all data sheet/PTM ROOFTOP/TMV ROOFTOP - NOVEMBER 2025.csv,58512,.csv,PTM aggregator processed (payment)
payments/processed,PTM ROOFTOP__TMV ROOFTOP- PTM - OCTOBER 2025.xlsx,meet-recording/data_sheets_historical/mangal all data sheet/PTM ROOFTOP/TMV ROOFTOP- PTM - OCTOBER 2025.xlsx,28560,.xlsx,PTM aggregator processed (payment)
payments/raw,PrmPayRcpt-37040072.pdf,meet-recording/data_sheets_historical/mangal all data sheet/PrmPayRcpt-37040072.pdf,25589,.pdf,PDF payment receipt
payments/raw,PrmPayRcpt-37040552.pdf,meet-recording/data_sheets_historical/mangal all data sheet/PrmPayRcpt-37040552.pdf,25319,.pdf,PDF payment receipt
payments/raw,PrmPayRcpt-37040742.pdf,meet-recording/data_sheets_historical/mangal all data sheet/PrmPayRcpt-37040742.pdf,36476,.pdf,PDF payment receipt
payments/raw,PrmPayRcpt-37040941.pdf,meet-recording/data_sheets_historical/mangal all data sheet/PrmPayRcpt-37040941.pdf,25505,.pdf,PDF payment receipt
payments/raw,PrmPayRcpt-37041196.pdf,meet-recording/data_sheets_historical/mangal all data sheet/PrmPayRcpt-37041196.pdf,25244,.pdf,PDF payment receipt
