payment_id,source,unit,txn_date,settled_date,gross_amount,commission,commission_gst,settled_amount,utr,payment_mode,issuing_bank,customer_vpa,invoice_no,matched_invoice_no,raw_path
bank_7223534417_1,bank,front_office,2025-08-01,2025-08-01,5010.0,,,5010.0,YESBN12025080102129283,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_2,bank,front_office,2025-08-01,2025-08-01,7196.1,,,7196.1,YESBN12025080105373783,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_3,bank,front_office,2025-08-01,2025-08-01,1391.28,,,1391.28,YESBN12025080106242377,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_4,bank,front_office,2025-08-02,2025-08-02,6497.05,,,6497.05,YESBN12025080203078843,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_5,bank,front_office,2025-08-02,2025-08-02,17971.25,,,17971.25,YESBN12025080205707018,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_6,bank,front_office,2025-08-02,2025-08-02,-2280.0,,,-2280.0,,,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_7,bank,front_office,2025-08-03,2025-08-03,8959.6,,,8959.6,YESBN12025080302999837,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_8,bank,front_office,2025-08-03,2025-08-03,1952.11,,,1952.11,YESBN12025080305702529,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_9,bank,front_office,2025-08-03,2025-08-03,-200000.0,,,-200000.0,,,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_10,bank,front_office,2025-08-04,2025-08-04,7682.13,,,7682.13,YESBN12025080403553372,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_11,bank,front_office,2025-08-04,2025-08-04,10375.01,,,10375.01,YESBN12025080405424833,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_12,bank,front_office,2025-08-05,2025-08-05,4980.71,,,4980.71,YESBN12025080502758961,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_13,bank,front_office,2025-08-05,2025-08-05,60349.82,,,60349.82,YESBN12025080505592091,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_14,bank,front_office,2025-08-05,2025-08-05,484.15,,,484.15,YESBN12025080506131630,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_15,bank,front_office,2025-08-06,2025-08-06,5000.0,,,5000.0,KKBKN62025080689643465,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_16,bank,front_office,2025-08-06,2025-08-06,2855.0,,,2855.0,YESBN12025080603917931,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_17,bank,front_office,2025-08-06,2025-08-06,22793.52,,,22793.52,YESBN12025080605683818,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_18,bank,front_office,2025-08-06,2025-08-06,6921.0,,,6921.0,HDFCN52025080697676308,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_19,bank,front_office,2025-08-07,2025-08-07,3461.0,,,3461.0,YESBN12025080702340467,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_20,bank,front_office,2025-08-07,2025-08-07,44912.45,,,44912.45,HSBCN52025080765311220,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
bank_7223534417_21,bank,front_office,2025-08-07,2025-08-07,1159838.33,,,1159838.33,HSBCN52025080765309735,BANK_TRANSFER,,,,,meet-recording/data_sheets_historical/mangal all data sheet/INDIAN BANK/Statement Of Account - AUGUST 2025.xlsx
