utr,amount_gross,commission,gst,settled_amount,settled_dt,txn_dt,payment_mode,issuing_bank,unit,raw_path,utr_txn_count,confidence
AXNPM01099541324,11897.0,51.81,6.58,11838.61,2026-01-10 02:24:31,2026-01-09 08:52:41,UPI,,rooftop,meet-recording/data_sheets_historical/mangal all data sheet/PTM ROOFTOP/TMV ROOFTOP - JANUARY 2026.xlsx,20,high
AXNPM07898040152,500.0,19.95,0.0,480.05,2026-03-19 10:38:11,2026-03-18 13:20:41,CREDIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - MARCH 2026 (FRONT OFFICE).xlsx,1,high
AXNPM08122492643,500.0,0.0,0.0,500.0,2026-03-22 10:39:03,2026-03-21 11:02:37,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - MARCH 2026 (FRONT OFFICE).xlsx,1,high
AXNPM08226753568,500.0,0.0,0.0,500.0,2026-03-23 03:51:00,2026-03-22 12:38:28,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - MARCH 2026 (FRONT OFFICE1).xlsx,1,high
AXNPM25646131482,2013.0,0.0,0.0,2013.0,2025-09-13 10:56:52,2025-09-12 08:29:32,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,5,high
YESAP51833296492,20186.0,201.39,36.25,19948.36,2025-07-02 10:44:43,2025-07-01 08:48:19,DEBIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,15,high
YESAP51843173906,20363.0,175.07000000000002,31.52,20156.41,2025-07-03 10:46:34,2025-07-02 08:20:34,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,14,high
YESAP51853112608,39828.0,81.36,14.65,39731.99,2025-07-04 10:40:38,2025-07-03 08:26:11,UPI,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,16,high
YESAP51866004539,31829.0,229.75,41.36,31557.89,2025-07-05 12:05:26,2025-07-04 09:23:07,UPI (CREDIT CARD),,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,21,high
YESAP51873091687,44145.0,261.32,47.04,43836.64,2025-07-06 14:16:06,2025-07-05 08:57:12,DEBIT_CARD,,front_office,meet-recording/data_sheets_historical/mangal all data sheet/UPI STATMENT/PTM - JULY 2025 (1).xlsx,21,high
