Actual Voucher No,Generated Voucher No,Actual Date,Generated Date,Match Score,Voucher Type Match,Ledger Names Match,Amount Match,Narration Match,Differences
RENT/MARCH26,RENT/MARCH26,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
507,507,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6453,25-26/6453,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6454,25-26/6454,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6455,25-26/6455,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6456,25-26/6456,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6457,25-26/6457,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6458,25-26/6458,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6459,25-26/6459,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6460,25-26/6460,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6461,25-26/6461,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6462,25-26/6462,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6463,25-26/6463,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6464,25-26/6464,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6465,25-26/6465,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6466,25-26/6466,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6467,25-26/6467,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6468,25-26/6468,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6469,25-26/6469,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6470,25-26/6470,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6471,25-26/6471,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6472,25-26/6472,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6473,25-26/6473,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6466,25-26/6466,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/6456,25-26/6456,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
25-26/4 ITEMS,25-26/4 ITEMS,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
1,1,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
2,2,2026-03-31,2026-03-31,100.00%,Yes,Yes,Yes,Yes,
